date,open,high,low,close,volume
2015-01-02,161.31,163.31,161.0,162.06,5525466
2015-01-05,161.27,161.27,159.19,159.51,4880389
2015-01-06,159.67,159.96,155.17,156.07,6146712
2015-01-07,157.2,157.2,154.03,155.05,4701839
2015-01-08,156.24,159.04,155.55,158.42,4241113
2015-01-09,158.42,160.34,157.25,159.11,4488347
2015-01-12,159.0,159.25,155.76,156.44,4187638
2015-01-13,157.26,159.97,155.68,156.81,4377510
2015-01-14,154.86,156.49,153.74,155.8,4690294
2015-01-15,156.69,156.97,154.16,154.57,4251723
2015-01-16,153.82,157.63,153.82,157.14,5756041
2015-01-20,156.7,157.33,154.03,156.95,8392773
2015-01-21,153.03,154.5,151.07,152.09,11897123
2015-01-22,151.94,155.72,151.76,155.39,6120113
2015-01-23,155.03,157.6,154.89,155.87,4834847
2015-01-26,158.26,159.46,155.77,156.36,7888143
2015-01-27,154.94,155.09,152.59,153.67,5659568
2015-01-28,154.0,154.53,151.55,151.55,4495933
2015-01-29,151.38,155.58,149.52,155.48,8320847
2015-01-30,153.91,155.24,153.04,153.31,6563570
2015-02-02,154.0,154.66,151.51,154.66,4712247
2015-02-03,154.75,158.6,154.75,158.47,5539406
2015-02-04,157.21,158.71,156.7,156.96,3678459
2015-02-05,157.29,158.59,157.15,157.91,5253637
2015-02-06,157.34,158.08,156.23,156.72,3256452
2015-02-09,156.0,157.5,155.4,155.75,3057726
2015-02-10,156.74,158.56,155.08,158.56,4440614
2015-02-11,157.76,159.09,157.17,158.2,3626658
2015-02-12,158.72,159.5,158.09,158.52,3333063
2015-02-13,158.78,160.8,158.64,160.4,3706919
2015-02-17,159.75,161.41,159.73,160.96,2894508
2015-02-18,161.86,162.47,160.64,162.19,4358385
2015-02-19,162.05,164.49,161.44,163.89,3504380
2015-02-20,163.64,164.34,162.09,163.65,3352982
2015-02-23,164.23,164.4,162.5,162.91,2714434
2015-02-24,162.49,164.99,161.51,164.83,4701626
2015-02-25,164.94,164.96,162.58,162.81,4004559
2015-02-26,163.74,164.14,159.77,160.87,7110772
2015-02-27,161.05,162.29,160.16,161.94,4410037
2015-03-02,161.68,161.89,159.81,160.48,5917862
2015-03-03,160.27,161.75,160.0,161.03,3234401
2015-03-04,160.54,160.56,158.72,159.42,3633635
2015-03-05,159.86,161.5,159.7,161.18,3791660
2015-03-06,160.19,161.44,158.06,158.5,4540174
2015-03-09,158.2,161.15,158.2,160.77,5193874
2015-03-10,159.6,160.23,157.81,157.81,4600968
2015-03-11,158.57,159.14,155.94,156.8,5709890
2015-03-12,156.27,158.72,156.27,157.98,4567346
2015-03-13,157.46,157.52,153.4,154.28,6064120
2015-03-16,155.05,157.09,154.8,157.08,3749638
2015-03-17,156.2,157.29,155.37,156.96,3311943
2015-03-18,156.85,160.7,155.8,159.81,5738827
2015-03-19,159.7,160.92,158.81,159.81,3878559
2015-03-20,160.95,163.0,160.35,162.88,9006417
2015-03-23,162.77,165.35,162.73,164.63,5930127
2015-03-24,164.79,164.89,162.9,163.0,4346145
2015-03-25,163.08,163.08,159.2,159.2,5428930
2015-03-26,159.27,161.25,158.91,160.59,4396024
2015-03-27,160.79,160.9,159.23,160.4,3477923
2015-03-30,161.31,163.6,161.25,162.67,4138018
2015-03-31,161.08,162.33,160.4,160.5,4255368
2015-04-01,160.23,160.62,158.39,159.18,3700791
2015-04-02,159.52,162.54,158.89,160.45,4671578
2015-04-06,159.69,162.8,158.7,162.04,3465682
2015-04-07,161.67,163.84,161.62,162.07,3147975
2015-04-08,161.72,163.55,161.01,161.85,2524323
2015-04-09,161.7,162.47,160.72,162.34,2263490
2015-04-10,162.34,163.33,161.25,162.86,2515703
2015-04-13,162.37,164.0,162.36,162.38,3868911
2015-04-14,162.42,162.74,160.79,162.3,2719287
2015-04-15,162.63,164.96,162.5,164.13,3498756
2015-04-16,163.31,163.98,162.54,163.13,3136947
2015-04-17,161.75,161.86,160.03,160.67,4314432
2015-04-20,162.1,166.64,161.9,166.16,9609204
2015-04-21,166.07,167.38,164.05,164.26,9683592
2015-04-22,164.39,166.0,162.89,165.36,4024789
2015-04-23,165.23,171.91,165.14,170.24,8235607
